metamodel_name;object_id;instance_key;formula_name;local_id;count
S_020.Д028.Блок агрегации Периоды;OBJ72111;641403;Агрегация;OBJ1;18
S_021.Д109.Расчет Перенос на итого без прогн.годов;OBJ374915;641455;Формула расчёта;OBJ3;8
S_022.Д030.Расчет +1-+5 Дефлятор 20,21 Показатель 10;OBJ223666;641407;+2 Деф 20;OBJ31;14
S_022.Д030.Расчет +1-+5 Дефлятор 20,21 Показатель 10;OBJ223666;641407;+3 Деф 21;OBJ20;12
S_022.Д030.Расчет +1-+5 Дефлятор 20,21 Показатель 10;OBJ223666;641407;+1 Деф 21;OBJ16;11
S_022.Д030.Расчет +1-+5 Дефлятор 20,21 Показатель 10;OBJ223666;641407;+1 Деф 20;OBJ17;10
S_022.Д030.Расчет +1-+5 Дефлятор 20,21 Показатель 10;OBJ223666;641407;+3 Деф 20;OBJ32;10
S_022.Д030.Расчет +1-+5 Дефлятор 20,21 Показатель 10;OBJ223666;641407;+2 Деф 21;OBJ18;8
S_022.Д030.Расчет +1-+5 Дефлятор 20,21 Показатель 10;OBJ223666;641407;+4 Деф 21;OBJ22;8
S_022.Д030.Расчет +1-+5 Дефлятор 20,21 Показатель 10;OBJ223666;641407;+4 Деф 20;OBJ33;6
S_022.Д030.Расчет +1-+5 Дефлятор 20,21 Показатель 10;OBJ223666;641407;+5 Деф 20;OBJ34;6
S_022.Д030.Расчет +1-+5 Дефлятор 20,21 Показатель 10;OBJ223666;641407;+5 Деф 21;OBJ24;4
S_022.Д030.Расчет +1-+5 Дефлятор 20,21 Показатель 10;OBJ223666;641407;Формула расчёта;OBJ35;2
S_024.032.Расчет показателя 10 '1.1.' Объед-я деф 20 21 22;OBJ49085;641487;1.1. Непрофильная прод-я;OBJ9;147
S_024.032.Расчет показателя 10 '1.1.' Объед-я деф 20 21 22;OBJ49085;641487;1.1. Ост-е типы затрат;OBJ10;147
S_024.032.Расчет показателя 10 '1.1.' Объед-я деф 20 21 22;OBJ49085;641487;1.1. Прочая прод-я;OBJ7;147
S_024.032.Расчет показателя 10 '1.1.' Объед-я деф 20 21 22;OBJ49085;641487;1.1. Электроэнергия;OBJ5;147
S_024.032.Расчет показателя 10 '1.1.' Объед-я деф 20 21 22;OBJ49085;641487;1.1. Тепловая энергия;OBJ6;27
S_026.033.Расчет показателя 10 '1.1.4.' ЭЭ,ТЭ, Прочая прод-я, Непроф-я прод-я деф 20 21 22;OBJ49093;641491;Формула расчёта;OBJ4;16
S_037.039.Агрегация по периодам Непрофильная прод-я Статьи 1.5.2.,1.5.3.,2.1-2.3.,8.1.1.-8.1.4.,8.2.-8.4.,4.,5.,7.2.3.,7.6.2.,.7.6.3.;OBJ344893;10041931;Агрегация;OBJ1;18
S_037.039.Агрегация по периодам Непрофильная прод-я Статьи 1.5.2.,1.5.3.,2.1-2.3.,8.1.1.-8.1.4.,8.2.-8.4.,4.,5.,7.2.3.,7.6.2.,.7.6.3.;OBJ344893;641287;Агрегация;OBJ1;18
S_050.Д054.Агрегация Периоды и Статьи 1.1 Показатель 110;OBJ220217;641431;Агрегация;OBJ1;18
S_051.Д055.Блок агрегации Статьи;OBJ72111;10061656;Агрегация;OBJ1;18
S_051.Д055.Блок агрегации Статьи;OBJ72111;641303;Агрегация;OBJ1;18
S_053.Д057.Блок агрегации Статья 1;OBJ220217;641319;Агрегация;OBJ1;18
S_057.Д073.Расчет Статьи I Дефляторы 20, 21, 22;OBJ221878;10056655;Формула расчёта непрофильная;OBJ5;12
S_057.Д073.Расчет Статьи I Дефляторы 20, 21, 22;OBJ221878;641335;Формула расчёта;OBJ3;11
S_059.077.Расчет статьи '12.' ЭЭ,Сетевые услуги,Осн.вид.деят-ти,Сдача недв-ти,Затраты на ок-е услуг,Техн-е присоед-е деф 20 21 22;OBJ49181;641307;Непрофильная пр-я;OBJ7;137
S_059.077.Расчет статьи '12.' ЭЭ,Сетевые услуги,Осн.вид.деят-ти,Сдача недв-ти,Затраты на ок-е услуг,Техн-е присоед-е деф 20 21 22;OBJ49181;641307;Ост-е типы затрат;OBJ8;137
